District,Village
Anugul  ,Barapal
Anugul  ,Barapali
Anugul  ,Barapali
Anugul  ,Barapasi
Anugul  ,Barapat
Anugul  ,Barasahi
Anugul  ,Barataila
Anugul  ,Bareni
Anugul  ,Barhakudar
Anugul  ,Barham
Anugul  ,Barihapur
Anugul  ,Barkalapal
Anugul  ,Barkotia
Anugul  ,Barnamuhan
Anugul  ,Barsinga
Anugul  ,Baruan
Anugul  ,Barundiha
Anugul  ,Basala
Anugul  ,Basantapur
Anugul  ,Basantia
Anugul  ,Basudebapur
Anugul  ,Basudebapur
Anugul  ,Basudebapur
Anugul  ,Basudevpur
Anugul  ,Basudevpur
Anugul  ,Batibaspur
Anugul  ,Batimunda
Anugul  ,Batisuan
Anugul  ,Batrakhol
Anugul  ,Baudabeda
Anugul  ,Baulapur
Anugul  ,Baulapur
Anugul  ,Bedasara
Anugul  ,Bedashasana
Anugul  ,Beherabhuin
Anugul  ,Beherapada
Anugul  ,Beherasahi
Anugul  ,Beladula
Anugul  ,Belapada
Anugul  ,Belasuntha
Anugul  ,Belataila
Anugul  ,Belpunji
Anugul  ,Benagadia
Anugul  ,Benipathar
Anugul  ,Besalia
Anugul  ,Betar
Anugul  ,Bethia bhuin
Anugul  ,Bethianali
Anugul  ,Bhadramunda
Anugul  ,Bhagabanapur
Anugul  ,Bhagabanpur
Anugul  ,Bhagabatpur
Anugul  ,Bhagabatpur
Anugul  ,Bhagamunda
Anugul  ,Bhagamunda
Anugul  ,Bhagamunda
Anugul  ,Bhagatpur
Anugul  ,Bhagilakata
Anugul  ,Bhagirathipur
Anugul  ,Bhagirathipur
Anugul  ,Bhagirathipur
Anugul  ,Bhajanipur
Anugul  ,Bhajipur
Anugul  ,Bhakarsahi
Anugul  ,Bhaktipal
Anugul  ,Bhaliabeda
Anugul  ,Bhaliadharapahada
Anugul  ,Bhaliasara
Anugul  ,Bhalugadia
Anugul  ,Bhalukhaidhipa
Anugul  ,Bhalukhaman
Anugul  ,Bhaluki
Anugul  ,Bhalumunda
Anugul  ,Bhalumunda
Anugul  ,Bhandarikata
Anugul  ,Bhandarimunda
Anugul  ,Bhangamaliha
Anugul  ,Bhangamunda
Anugul  ,Bhapur
Anugul  ,Bharathapur
Anugul  ,Bharatpur
Anugul  ,Bharatpur
Anugul  ,Bhatapal
Anugul  ,Bhejidiha
Anugul  ,Bhejidihi
Anugul  ,Bhejigoth
Anugul  ,Bhejipada
Anugul  ,Bherubania
Anugul  ,Bherubania
